id исходной;id результата;направление;
0;1;n;
1;0;s;
1;2;e;
1;10;nw;
2;1;w;
2;3;n;
2;16;nw;
3;2;s;
3;4;e;
3;22;nw;
4;3;w;
4;5;n;
4;27;nw;
5;4;s;
5;6;e;
5;32;nw;
6;5;w;
6;7;e;
6;37;nw;
7;6;w;
7;8;n;
7;43;nw;
8;7;s;
8;9;e;
8;49;se;
9;8;w;
10;1;se;
10;11;e;
10;12;d;
10;13;u;
11;10;w;
12;10;u;
13;10;d;
13;14;w;
13;15;u;
14;13;e;
15;13;d;
16;2;se;
16;21;n;
16;20;d;
17;19;e;
18;19;s;
19;17;w;
19;18;s;
19;20;e;
20;19;w;
20;16;u;
21;16;s;
22;3;se;
22;23;s;
22;25;d;
22;26;n;
23;22;n;
23;24;d;
24;23;u;
24;25;e;
25;24;w;
25;22;u;
25;26;s;
26;25;n;
26;22;s;
27;4;se;
27;28;s;
27;31;n;
28;27;n;
28;29;d;
28;30;e;
28;31;s;
29;28;u;
29;30;d;
30;28;w;
30;29;u;
30;31;e;
31;27;s;
31;28;n;
31;30;w;
